Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
1/15/2021,0.25,0.375,3,0,11,0,0.125,1.25,0,1,0.75,3.5,8
1/16/2021,0.214285714,0.142857143,3.285714286,0.285714286,11.35714286,0.071428571,0.214285714,1.142857143,0.214285714,1.285714286,0.571428571,3.571428571,14
1/17/2021,0.083333333,0.25,3.5,0.25,11,0.083333333,0.083333333,1.083333333,0.166666667,1.666666667,0.583333333,3.25,12
1/18/2021,0.285714286,0.142857143,2.857142857,0.142857143,11.85714286,0,0.142857143,1,0.285714286,1,0.142857143,2.857142857,7
1/19/2021,0.5,0,3.5,0,11,0,0,1,0.5,0.5,0,5,2
1/20/2021,0.5,0.333333333,3.166666667,0.5,10.33333333,0,0,1,0,1.333333333,0.333333333,3.333333333,6
1/21/2021,0.666666667,0,2.333333333,0.333333333,10,0,0,1.666666667,0.333333333,2.666666667,0,2.333333333,3
1/22/2021,0,0.25,3.25,0.25,10.75,0,0,0.5,0,2.5,0.75,3.75,4
1/23/2021,0,0.166666667,2.833333333,0.666666667,11.66666667,0,0.166666667,1,0.166666667,1.666666667,0.5,3.166666667,6
1/25/2021,0.352941176,0.352941176,3.411764706,0.411764706,12.41176471,0.235294118,0.235294118,0.941176471,0.058823529,1.352941176,0.294117647,3.352941176,17
1/26/2021,0.25,0.25,3,0.75,9,0,0.25,0.75,0,0.75,0,2.5,4
1/27/2021,0.272727273,0.545454545,2.909090909,0.636363636,10.81818182,0,0.090909091,1.363636364,0.181818182,1.818181818,0.818181818,2.636363636,11
1/28/2021,0.285714286,0.285714286,3.857142857,1.142857143,11.42857143,0,0.142857143,0.714285714,0.142857143,1.857142857,0.571428571,3.428571429,7
1/29/2021,0.2,0.2,2.4,0.4,9.6,0,0,2.2,0,1.2,1,3,5
1/30/2021,0,0.4,3.2,0.2,12.4,0.2,0,0.4,0.2,1.8,0.6,3.4,5
1/31/2021,0.333333333,0.666666667,2.333333333,0,9.666666667,0,0.333333333,0.333333333,0,1.333333333,1,3.333333333,3
2/1/2021,0.272727273,0.454545455,3,0.272727273,11.59090909,0,0.181818182,0.954545455,0.136363636,1.727272727,0.772727273,3.227272727,22
2/2/2021,0.625,0.25,2.75,0.25,9.75,0.125,0,1.375,0.125,2,0.5,2.625,8
2/3/2021,0.25,0.25,3.5,0,12,0,0.25,0.25,0,2,0,4,4
2/4/2021,0.428571429,0.285714286,2.857142857,1,10.85714286,0,0.285714286,1.857142857,0.142857143,1.428571429,0.571428571,2.285714286,7
2/5/2021,0.148148148,0.555555556,3.259259259,0.592592593,12.81481481,0.037037037,0.407407407,1.259259259,0.185185185,1.444444444,0.444444444,3.777777778,27
2/6/2021,0.5625,0.4375,2.75,0.375,11.375,0.0625,0.0625,1.4375,0.1875,1.875,0.3125,3.25,16
2/7/2021,0.444444444,0.111111111,2.777777778,0.666666667,11.44444444,0,0.111111111,1,0.333333333,1.333333333,0.333333333,3.333333333,9
2/8/2021,0.432432432,0.459459459,2.918918919,0.648648649,12.2972973,0,0.27027027,1.378378378,0.351351351,1.540540541,0.594594595,2.783783784,37
2/9/2021,0.166666667,0.277777778,3.055555556,0.388888889,11.44444444,0.111111111,0.166666667,0.777777778,0.166666667,1.444444444,0.333333333,3.777777778,18
2/10/2021,0.333333333,0.619047619,2.857142857,0.714285714,12.19047619,0,0.285714286,1.285714286,0.238095238,1.476190476,0.80952381,3.571428571,21
2/11/2021,0.304761905,0.323809524,3.133333333,0.6,12.45714286,0.047619048,0.171428571,1.038095238,0.180952381,1.342857143,0.40952381,3.495238095,105
2/12/2021,0.444444444,0.222222222,3.388888889,0.666666667,11.88888889,0.055555556,0.277777778,1.444444444,0.166666667,1.777777778,0.666666667,3.388888889,18
2/13/2021,0.428571429,0.285714286,2.571428571,0.357142857,11.42857143,0.071428571,0.214285714,1.214285714,0.214285714,1.428571429,0.428571429,4.285714286,14
2/14/2021,0.35,0.7,2.95,0.95,13.4,0,0.55,1.9,0.4,1.45,1,3.7,20
2/15/2021,0.338028169,0.450704225,3.23943662,0.718309859,11.56338028,0,0.211267606,1.267605634,0.253521127,1.295774648,0.605633803,3.169014085,71
2/16/2021,0.4,0.275,3.1,0.8,12.175,0,0.125,1.475,0.3,1.65,0.6,2.75,40
2/17/2021,0.34,0.46,3.3,0.76,12.14,0.02,0.16,1.36,0.3,2.14,0.58,3.38,50
2/18/2021,0.3125,0.5625,3.21875,0.8125,12.5,0.03125,0.28125,1.46875,0.375,1.65625,0.8125,3.53125,32
2/19/2021,0.444444444,0.814814815,2.888888889,1.148148148,13.7037037,0,0.407407407,1.962962963,0.481481481,1.481481481,1.037037037,3.222222222,27
2/20/2021,0.28125,0.65625,3.15625,0.71875,11.6875,0,0.1875,1.40625,0.28125,1.84375,0.78125,3.40625,32
2/21/2021,0.1875,0.5625,3.125,1.09375,12.6875,0.09375,0.25,1.5625,0.34375,1.75,0.78125,3.40625,32
2/22/2021,0.302325581,0.534883721,3.046511628,0.697674419,12.18604651,0,0.23255814,1.279069767,0.441860465,1.441860465,0.697674419,3.488372093,43
2/23/2021,0.441860465,0.790697674,3.093023256,0.930232558,12.09302326,0.046511628,0.372093023,1.465116279,0.395348837,1.465116279,0.860465116,3.23255814,43
2/24/2021,0.263736264,0.681318681,3.131868132,0.945054945,12.57142857,0.010989011,0.318681319,1.494505495,0.406593407,1.758241758,0.879120879,3,91
2/25/2021,0.45,0.55,3.275,1.05,12.775,0.025,0.3,2.1,0.475,1.45,0.725,2.575,40
2/26/2021,0.347826087,0.456521739,3.130434783,0.804347826,13.04347826,0,0.304347826,1.282608696,0.260869565,1.282608696,0.565217391,3.086956522,46
2/27/2021,0.227272727,0.818181818,3.136363636,1.045454545,12,0,0.5,1.363636364,0.5,1.727272727,1.318181818,3.090909091,22
2/28/2021,0.392857143,0.928571429,3.464285714,1.285714286,12.82142857,0,0.392857143,1.892857143,0.464285714,1.714285714,1.178571429,3.178571429,28
3/1/2021,0.365853659,0.707317073,3.12195122,1.219512195,12.68292683,0.048780488,0.390243902,1.707317073,0.414634146,1.926829268,1.024390244,2.804878049,41
3/2/2021,0.433333333,1,2.9,1.2,12.3,0,0.4,1.466666667,0.333333333,2.033333333,1.233333333,3.233333333,30
3/3/2021,0.31372549,0.843137255,3.37254902,1.333333333,12.70588235,0,0.37254902,1.882352941,0.509803922,1.901960784,1.235294118,2.764705882,51
3/4/2021,0.340909091,1,3.272727273,1.363636364,13.15909091,0.045454545,0.409090909,1.886363636,0.613636364,1.840909091,1.431818182,2.727272727,44
3/5/2021,0.420289855,0.826086957,3.028985507,1.072463768,13.46376812,0.043478261,0.405797101,1.68115942,0.434782609,1.927536232,1.028985507,2.913043478,69
3/6/2021,0.407407407,0.62962963,3.148148148,0.962962963,11.62962963,0.074074074,0.37037037,1.62962963,0.407407407,1.703703704,1.111111111,3.740740741,27
3/7/2021,0.404255319,0.936170213,3.404255319,1.14893617,13.46808511,0.170212766,0.489361702,1.872340426,0.425531915,1.829787234,1.234042553,3.085106383,47
3/8/2021,0.369863014,1.123287671,2.904109589,1.465753425,13.63013699,0.04109589,0.547945205,2.02739726,0.561643836,1.904109589,1.438356164,2.767123288,73
3/9/2021,0.342857143,1.342857143,3.142857143,1.657142857,13.41428571,0.085714286,0.614285714,2.142857143,0.671428571,1.828571429,1.757142857,2.914285714,70
3/10/2021,0.469387755,0.918367347,3.285714286,1.12244898,13.63265306,0.020408163,0.367346939,1.693877551,0.489795918,1.93877551,1.204081633,3.204081633,49
3/11/2021,0.282051282,1.41025641,3.205128205,1.615384615,13.43589744,0.153846154,0.692307692,1.923076923,0.615384615,2.051282051,1.846153846,2.923076923,39
3/12/2021,0.358974359,1.051282051,3.461538462,1.333333333,12.53846154,0.128205128,0.487179487,1.897435897,0.487179487,1.615384615,1.307692308,3.256410256,39
3/13/2021,0.3125,0.916666667,3.1875,1.458333333,13.27083333,0.041666667,0.541666667,2.0625,0.583333333,1.708333333,1.270833333,3.604166667,48
3/14/2021,0.304878049,1.268292683,3.231707317,1.634146341,13.15853659,0.048780488,0.56097561,2.012195122,0.609756098,1.975609756,1.646341463,3.024390244,82
3/15/2021,0.32,1.34,3.76,1.76,13.42,0.1,0.68,1.9,0.64,2.12,1.66,2.7,50
3/16/2021,0.465517241,1.189655172,3.551724138,1.689655172,13.43103448,0.120689655,0.620689655,2.120689655,0.568965517,2.275862069,1.655172414,2.896551724,58
3/17/2021,0.333333333,0.523809524,3.761904762,0.761904762,12.71428571,0.047619048,0.238095238,1.523809524,0.333333333,1.666666667,0.666666667,2.857142857,21
3/18/2021,0.388888889,1.555555556,3.055555556,1.703703704,14.12962963,0.148148148,0.685185185,2.203703704,0.648148148,2.111111111,1.666666667,2.796296296,54
3/19/2021,0.47826087,1.239130435,3.108695652,1.673913043,13.13043478,0.108695652,0.630434783,2.391304348,0.543478261,2.260869565,1.652173913,2.760869565,46
3/20/2021,0.492537313,0.985074627,3.701492537,1.388059701,13.32835821,0.149253731,0.507462687,2.149253731,0.641791045,2.268656716,1.343283582,3.179104478,67
3/21/2021,0.644736842,1.197368421,3.631578947,1.381578947,13.60526316,0.184210526,0.526315789,2.092105263,0.552631579,2.697368421,1.394736842,3.052631579,76
3/22/2021,0.25,1,3.75,1.583333333,14.41666667,0.083333333,0.5,2.5,0.666666667,1.916666667,1.416666667,3.166666667,12
3/23/2021,0.4,1.425,3.8,1.775,14.05,0.075,0.6,2.275,0.75,2.1,1.775,2.325,40
3/24/2021,0.277777778,1.333333333,3.319444444,1.763888889,13.45833333,0.027777778,0.611111111,2.236111111,0.625,2.194444444,1.625,2.541666667,72
3/25/2021,0.383838384,1.232323232,3.555555556,1.606060606,13.80808081,0.131313131,0.646464646,2.141414141,0.666666667,2.292929293,1.737373737,2.868686869,99
3/26/2021,0.545454545,1.636363636,3.818181818,1.96969697,13.42424242,0.181818182,0.757575758,2.424242424,0.787878788,2.515151515,2.151515152,2.848484848,33
3/27/2021,0.392857143,1.464285714,3.285714286,1.892857143,13.96428571,0.071428571,0.678571429,2.178571429,0.857142857,2.464285714,1.857142857,2.964285714,28
3/28/2021,0.5,1.5,3.846153846,1.692307692,13.65384615,0.192307692,0.653846154,1.961538462,0.846153846,2.653846154,2,2.692307692,26
3/29/2021,0.5,1.631578947,3.736842105,1.921052632,14.02631579,0.131578947,0.815789474,2.421052632,0.736842105,2.736842105,2.078947368,2.815789474,38
3/30/2021,0.287671233,1.684931507,3.493150685,2.136986301,13.7260274,0.109589041,0.835616438,2.328767123,0.739726027,2.410958904,2.164383562,2.575342466,73
3/31/2021,0.4,1.34,3.84,1.7,14.12,0.1,0.62,2.48,0.82,2.52,1.72,2.68,50
4/1/2021,0.487394958,1.201680672,3.773109244,1.56302521,14.06722689,0.109243697,0.630252101,2.420168067,0.655462185,2.31092437,1.672268908,2.478991597,119
4/2/2021,0.264367816,1.482758621,3.505747126,2.057471264,13.55172414,0.057471264,0.770114943,2.643678161,0.735632184,2.298850575,2.045977011,2.908045977,87
4/3/2021,0.464285714,1.303571429,3.767857143,1.642857143,13.98214286,0.178571429,0.696428571,2.321428571,0.642857143,2.5,1.714285714,2.589285714,56
4/4/2021,0.256410256,1.717948718,3.948717949,2.051282051,14.07692308,0.128205128,0.820512821,2.358974359,0.846153846,2.358974359,2.230769231,2.692307692,39
4/5/2021,0.646153846,1.492307692,3.984615385,1.630769231,13.61538462,0.246153846,0.707692308,2.169230769,0.723076923,2.661538462,1.892307692,2.784615385,65
4/6/2021,0.333333333,1.757575758,3.696969697,2.121212121,14.77272727,0.121212121,0.787878788,2.303030303,0.878787879,2.484848485,2.166666667,2.515151515,66
4/7/2021,0.413793103,1.913793103,3.396551724,2.25862069,14.4137931,0.137931034,0.879310345,2.413793103,0.74137931,2.586206897,2.362068966,2.637931034,58
4/8/2021,0.292682927,1.719512195,3.792682927,2.182926829,14.45121951,0.109756098,0.792682927,2.463414634,0.865853659,2.536585366,2.231707317,2.93902439,82
4/9/2021,0.253968254,1.603174603,3.476190476,2.063492063,14.66666667,0.142857143,0.682539683,2.444444444,0.777777778,2.380952381,2.206349206,2.698412698,63
4/10/2021,0.490196078,1.666666667,3.431372549,1.921568627,13.94117647,0.156862745,0.725490196,2.490196078,0.803921569,2.607843137,2.019607843,2.823529412,51
4/11/2021,0.455882353,1.867647059,3.676470588,2.058823529,13.91176471,0.176470588,0.794117647,2.544117647,0.808823529,2.764705882,2.220588235,2.705882353,68
4/12/2021,0.529411765,1.607843137,3.901960784,1.803921569,14.37254902,0.196078431,0.764705882,2.176470588,0.784313725,2.666666667,1.960784314,2.862745098,51
4/13/2021,0.308823529,1.683823529,3.786764706,2.169117647,14.63970588,0.029411765,0.735294118,2.257352941,0.897058824,2.441176471,2.205882353,2.404411765,136
4/14/2021,0.282722513,1.717277487,3.596858639,2.089005236,14.37172775,0.031413613,0.759162304,2.403141361,0.77486911,2.523560209,2.178010471,2.502617801,191
4/15/2021,0.390625,1.640625,3.640625,2.03125,14.734375,0.09375,0.71875,2.5,0.84375,2.421875,2.1875,2.390625,64
4/16/2021,0.261538462,1.753846154,3.738461538,2.476923077,14.58461538,0.046153846,0.815384615,2.8,0.923076923,2.461538462,2.430769231,2.2,65
4/17/2021,0.284615385,1.692307692,3.5,2.176923077,14.13076923,0.007692308,0.753846154,2.415384615,0.884615385,2.476923077,2.2,2.261538462,130
4/18/2021,0.5,1.46969697,3.893939394,1.545454545,14.10606061,0.106060606,0.590909091,2.242424242,0.772727273,2.439393939,1.606060606,2.378787879,66
4/19/2021,0.346456693,1.708661417,3.826771654,2.173228346,14.69291339,0.039370079,0.763779528,2.496062992,0.850393701,2.456692913,2.188976378,2.330708661,127
4/20/2021,0.47826087,1.434782609,3.956521739,1.652173913,13.91304348,0.130434783,0.652173913,2.347826087,0.782608696,2.565217391,1.869565217,1.956521739,23
4/21/2021,0.21875,1.916666667,3.291666667,2.447916667,14.52083333,0,0.802083333,2.458333333,0.989583333,2.520833333,2.625,2.21875,96
4/22/2021,0.247706422,1.889908257,3.642201835,2.275229358,14.83486239,0,0.770642202,2.568807339,1.009174312,2.550458716,2.321100917,2.339449541,109
4/23/2021,0.285714286,2.095238095,3.273809524,2.273809524,15.02380952,0,0.797619048,2.452380952,0.976190476,2.5,2.392857143,2.19047619,84
4/24/2021,0.282051282,2.051282051,4.384615385,2.282051282,14.41025641,0,0.794871795,2.41025641,0.974358974,2.358974359,2.461538462,2.512820513,39
4/25/2021,0.216216216,2.054054054,3.72972973,2.567567568,14.86486486,0,0.837837838,2.621621622,0.918918919,2.324324324,2.513513514,2.378378378,37
4/26/2021,0.319444444,1.881944444,3.493055556,2.145833333,14.71527778,0.027777778,0.743055556,2.506944444,0.895833333,2.493055556,2.270833333,2.222222222,144
4/27/2021,0.190082645,2.074380165,3.479338843,2.462809917,14.97520661,0,0.818181818,2.52892562,0.966942149,2.504132231,2.628099174,2.438016529,121
4/28/2021,0.234042553,2.106382979,3.446808511,2.659574468,14.78723404,0,0.893617021,2.553191489,0.936170213,2.595744681,2.638297872,2.425531915,47
4/29/2021,0.130434783,2.333333333,3.057971014,2.768115942,15.13043478,0.014492754,0.927536232,2.507246377,1.072463768,2.782608696,2.942028986,2.246376812,69
4/30/2021,0.217391304,2.108695652,3.913043478,2.52173913,14.63043478,0,0.891304348,2.565217391,1.043478261,2.47826087,2.543478261,2.565217391,46
5/1/2021,0.214285714,2.357142857,3.642857143,2.428571429,15.28571429,0,0.857142857,2.214285714,1.071428571,2.571428571,2.714285714,2.357142857,14
